dataset,Original Question,Step-back Question
TimeQA,Which position did Knox Cunningham hold from May 1955 to Apr 1956?,Which positions have Knox Cunning- ham held in his career?
TimeQA,Who was the spouse of Anna Karina from 1968 to 1974?,Who were the spouses of Anna Karina?
TimeQA,Which team did Thierry Audel play for from 2007 to 2008?,Which teams did Thierry Audel play for in his career?
TimeQA,What was the operator of GCR Class 11E from 1913 to Dec 1922?,What were the operators of GCR Class 11E in history?
TimeQA,Which country did Sokolovsko belong to from 1392 to 1525?,Which countries did Sokolovsko belong to in history?
SituatedQA,when was the last time a team from canada won the stanley cup as of 2002,which years did a team from canada won the stanley cup as of 2002
SituatedQA,when did england last get to the semi final in a world cup as of 2019,which years did england get to the semi final in a world cup as of 2019?
SituatedQA,"what is the biggest hotel in las vegas nv as of November 28,1993","what is the size of the hotels in las vegas nv as of November 28,1993"
SituatedQA,who has scored most runs in t20 matches as of 2017,What are the runs of players in t20 matches as of 2017
SituatedQA,who is the highest paid player in the nba this season as of 2017,what is the salary of the high paid play- ers in the nba this season as of 2017
