dataset,Original Question,Step-back Question
MuSiQue,at year saw the creation of the region where the county of Hertfordshire is located?,which region is the county of Hertfordshire located?
MuSiQue,Jan Šindel’s was born in what country?,what is Jan Šindel’s personal history?
MuSiQue,When was the abolishment of the studio that distributed The Game?,which studio distributed The Game?
MuSiQue,What city is the person who broadened the doctrine of philosophy of language from?,who broadened the doctrine of philosophy of language
MuSiQue,When was the baseball team winning the world series in 2015 baseball created?,which baseball team won the world series in 2015 baseball?
StrategyQA,Could the members of The Police perform lawful arrests?,what can the members of The Police do?
StrategyQA,Would a Monoamine Oxidase candy bar cheer up a depressed friend?,What are the effects of Monoamine Oxidase?
StrategyQA,Would a dog respond to bell before Grey seal?,Would a dog respond to bell before Grey seal?
StrategyQA,Is shrimp scampi definitely free of plastic?,what is shrimp scampi made of?
StrategyQA,Do the anchors on Rede Globo speak Chinese?,What languages do the anchors on Rede Globo speak?
