Immunity test,IEC 60601 test level,Compliance level,Electromagneticenvironment-guidance
Electrostatic discharge(ESD)IEC 61000-4-2,±6 kV contact±8 kV air,±6 kV contact±8 kV air,"Floors should be wood,concrete orceramic tile. If floors are coveredwith synthetic material, the relativehumidity should be at least 30%."
Electrical fasttransient/burstIEC 61000-4-4,±2 kV for power supply lines±1 kV for input/ output lines,±2 kV for power supply lines±1 kV for input/ output lines,Mains power quality should be that of atypical commercial or hospitalenvironment.
SurgeIEC 61000-4-5,±1 kV line(s) to line(s)±2 kV line(s) to earth,±1 kV differential mode±2 kV common mode,Mains power quality should be that of atypical commerciai or hospitalenvironment.
"Voltage dips, shortinterruptions andvoltage variations on power supply inputlinesIEC 61000-4-11",<5%(> 95% dip in) for O.5 cycle40%(60% dip in) for 5 cycles70%(30% dip in) for 25 cycles< 5%(> 95% dip in) for 5 sec,<5%(> 95% dip in) for O.5 cycle40%(60% dip in) for 5 cycles70%(30% dip in) for 25 cycles< 5%(> 95% dip in) for 5 sec,"Mains power quality should be that ofa typical commercial or hospitalenvironment. If the user of the LMD-M270TF-XXX/M320TF-XXXrequires continued operation duringpower mains interruptions, it isrecommended that the M270TF-XXX/ M320TF-XXXbe powered from anuninterruptible power supply or abattery."
Power frequency(50/60 Hz)magnetic fieldIEC 61000-4-8,3 A/m,3 A/m,Power frequency magnetic fieldsshould be at levels characteristic of atypical location ina typicalcommercial or hospital environment.
NOTE: is the A.C. mains voltage prior to application of the test level.,NOTE: is the A.C. mains voltage prior to application of the test level.,NOTE: is the A.C. mains voltage prior to application of the test level.,NOTE: is the A.C. mains voltage prior to application of the test level.
Guidance and manufacturer's declaration - electromagnetic immunityThe M270TF-XXX/M320TF-XXXis intended forusein the electromagnetic environmentspecified below.The customeror theuser of the M270TF-XXX/M320TF-XXX should assure that it is used in such as environment.,Guidance and manufacturer's declaration - electromagnetic immunityThe M270TF-XXX/M320TF-XXXis intended forusein the electromagnetic environmentspecified below.The customeror theuser of the M270TF-XXX/M320TF-XXX should assure that it is used in such as environment.,Guidance and manufacturer's declaration - electromagnetic immunityThe M270TF-XXX/M320TF-XXXis intended forusein the electromagnetic environmentspecified below.The customeror theuser of the M270TF-XXX/M320TF-XXX should assure that it is used in such as environment.,Guidance and manufacturer's declaration - electromagnetic immunityThe M270TF-XXX/M320TF-XXXis intended forusein the electromagnetic environmentspecified below.The customeror theuser of the M270TF-XXX/M320TF-XXX should assure that it is used in such as environment.
Immunity test,IEC60601test level,Compliance level,Electromagneticenvironment-guidance
Conducted RFIEC 61000-4-6,3 Vrms150 kHz to 80 MHz,3 Vrms150 kHz to 80 MHz,"Portable and mobile RF communications equipmentshould be used no closer to any part of the M270TF-XXX/M320TF-XXX,including cables, than therecommended separation distance calculated from theequation appliance to the frequency of the transmitter.Recommended separation distance: d $d { = } \left[ \frac { 3 , 5 } { v _ { 1 } } \right] \sqrt { p }$"
