Signal name,VerticalFrequency (Hz),DVI,VGA,SDI,DP 1.2,HDMI 1.4,HDMI 2.0
640 x 480,60,$\pmb { \nu }$,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
640 x 480,72,√,$\pmb { \nu }$,,$\pmb { \nu }$,√,V
640 x 480,75,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
480P,60,V,$\pmb { \nu }$,√,$\pmb { \nu }$,V,V
480P,72,v,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
480P,75,V,$\pmb { \nu }$,,$\pmb { \nu }$,V,V
800 x 600,60,√,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
800 x 600,72,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
800 x 600,75,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
1024 × 768,60,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
1024 × 768,72,√,$\pmb { \nu }$,,$\pmb { \nu }$,√,v
1024 × 768,75,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
720P,60,√,$\pmb { \nu }$,√,$\pmb { \nu }$,√,<
720P,72,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
720P,75,√,$\pmb { \nu }$,,V,√,√
1280 x 1024,60,√,$\pmb { \nu }$,,√,√,√
1280 x 1024,72,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
1280 x 1024,75,V,$\pmb { \nu }$,,$\pmb { \nu }$,V,v
1600 × 1200,60,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
1600 × 1200,72,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
1600 × 1200,75,V,$\pmb { \nu }$,,$\pmb { \nu }$,√,√
1920 × 1080,60,v,$\pmb { \nu }$,√,$\pmb { \nu }$,√,√
1920 × 1080,72,v,$\pmb { \nu }$,,$\pmb { \nu }$,V,√
1920 × 1080,75,1,$\pmb { \nu }$,,$\pmb { \nu }$,V,√
1920×1200,60,V,$\pmb { \nu }$,,$\pmb { \nu }$,$\pmb { \nu }$,√
2560x 1440,60,$\pmb { \nu }$,,,$\pmb { \nu }$,√,√
3840 × 2160,30,√,,,$\pmb { \nu }$,√,V
3840 × 2160,60,,,,$\pmb { \nu }$,,$\pmb { \nu }$
4096 × 2160,60,,,,$\pmb { \nu }$,,√
