Symbol,,Description,,Symbol,,Description
Potential equalization terminal (Sets other devices to same potential level),,Potential equalization terminal (Sets other devices to same potential level),,CE,,This device complies with the Healthcare Device Directive 93/42/EEC
SN,,Serial number,,,,
Date of manufacture,,Date of manufacture,,Manufacturer/product owner,,---
,,Direct current,,,,
This way up,,This way up,,,,Stacking limit by number
,,,,,,Keep away from rain
Fragile,,Fragile,,,,Weight
,,,,,,Consult operating instruction for use.
Temperature limits,,Temperature limits,,,,Recycling symbol for corrugated cardboard used for packaging
,,,,,,General warning sign
Indicates user need to read user manual before using the device,,UL US LISTED,,UL Listing Mark,,cUL us
,,,,UL Recognized Component Mark,,
TUV SUD Mark,,TUV SUD Mark,,D,,Indicates device is approved according To The UL DEMKO Regulation
,,,,VCCI,,Indicates device is approved according To The VCCI Regulation
FC,,Indicates this device is compliance with Part 15 of FCC rules (Class B),,,,
,,,,,,Indicates this device must not throw in the trash
