Resolution,Frame Rate & Structure,SDI Cable
1920x1080,60/P,RG6
1920x1080,50/P,RG6
1920x1080,60/l,RG59 or RG6
1920x1080,50/l,RG59 or RG6
1920x1080,30/P,RG59 or RG6
1920x1080,25/P,RG59orRG6
1920x1080,24/P,RG59 or RG6
1920x1080,30/PsF,RG59orRG6
1920x1080,25/PsF,RG59 or RG6
1280x720,60/P,RG58 or RG59 or RG6
1280x720,50/P,RG58 or RG59 or RG6
SD-SDI 270 Mb/seCHD-SDI 1.485 Mb/sec3G-SDI 2.97Mb/seC,SD-SDI 270 Mb/seCHD-SDI 1.485 Mb/sec3G-SDI 2.97Mb/seC,SD-SDI 270 Mb/seCHD-SDI 1.485 Mb/sec3G-SDI 2.97Mb/seC
