Scaling,Adjust the image scaling setting,Full/16:10/16:9/4:3/5:4/1:1
Flip,Set the flip image mode,Rotate 0 / Rotate 90 / Rotate 180 / Rotate 270 / LEFT/RIGHT /UP/DOWN
Overscan,Perform over scan function,Under scan Over Scan
RGB/YUV,RGB/YUV,Can Switch Between Color Spaces
RS232,Select the RS232 signal source: local COM or Fiber,Local / Fiber
Touch,Select the Touch signal source: local COM or Fiber,Local / Fiber
Ambient Sensor,On / off,
IR Sensor,On / off,
DP EDID,1080P/ 4K2K 30Hz/ 4K2K 60Hz,
Factory Reset,Resets OSD options back to factory settings.,Yes/No
