Scaling,Adjust the image scaling settingFul/16:10/16:9/4:3/5:4/1:1
Flip,Set the flip image modeRotate 0 / Rotate 90 / Rotate 180 / Rotate 270 / LEFT/RIGHT/UP/DOWN
Overscan,Perform over scan functionUnder scanOver Scan
RGB/YUV,RGB/YUVCan Switch Between Color Spaces
RS232,Select the RS232 signal source: local COM or FiberLocal / Fiber
Touch,Select the Touch signal source: local COM or FiberLocal / Fiber
AmbientSensor,On / off
IR Sensor,On / off
DP EDID,1080P/ 4K2K 30Hz/ 4K2K 60Hz
Factory Reset,Resets OSD options back to factory settings.Yes/No
