,M270TF-XX,M320TF-XX
Screen Technology,"LED Backlight Technology,TFT Active-matrix,Widescreen, IPSTechnologyOptional for Visual and SafetyEnhancement Layer (VSEL) Bonding","LED Backlight Technology,TFT Active-matrix,Widescreen, IPSTechnology· Optional for Visual and SafetyEnhancement Layer (VSEL) Bonding"
Viewable Size,"27"" Diagonal","32"" Diagonal"
Active Area,596.16 (H)× 335.34 (V) mm,708.48 (H) x 398.52(V) mm
Native Resolution,3840x2160 (UHD 4K),3840 x 2160 (UHD 4K)
Pixel Pitch,155.25(H)x 155.25 (V)um,184.5 (H) x 184.5(V) um
Aspect Ration,"16:9,Full, 16:10,4:3,5:4, 1:1","16:9,Full,16:10,4:3,5:4,1:1"
Response Time,12ms (Gray to Gray),12ms (Gray to Gray)
Light Intensity,300 cd/m² (typ.)Optionalfor700cd/m2 (typ.),350 cd/m² (typ.)Optional for 700 cd/m2 (typ.)
Contrast Ratio,1000:1 (typ.),1000:1 (typ.)
View Angle,89/89/89/89,89/89/89/89
Max Colors,1.07B,1.07B
Synchronization SignalAuto-detect,"Digital Separate Sync., Composite Sync.,Sync. On Green","Digital Separate Sync., Composite Sync.,Sync. On Green"
Color Profiles,3D LUT profile selection +6 general user color schemes,3D LUT profile selection +6 general user color schemes
Optimal Resolution and Hz,3840 × 2160 @ 60 Hz 4:4:4,3840 × 2160 @ 60 Hz 4:4:4
Detectable Resolutions(Partial List),"640 × 480,720 × 400,800 × 600,1024 × 768,1280 × 1024,1600 × 1200,1920 × 1080,1920 × 1200,2560 × 1440,3840 × 2160,4096 × 2160","640 x 480, 720 × 400,800 × 600,1024 × 768,1280 × 1024,1600 × 1200,1920 × 1080,1920 × 1200,2560 × 1440,3840 × 2160,4096 × 2160"
Product Features,"Backlight sensor (Optional), Ambient lightsensor, IR Control","Backlight sensor (Optional),Ambient lightsensor, IR Control"
Power Specifications,"24V DC in 150W,with external110-240V AC to DC Adapter","24V DC in 150W, with external110-240V AC to DC Adapter"
User Controls and Activity,"Capacitive OSD :Power On/Off, On Screen Display Menu,Brightness Control (-/+)","Capacitive OSD :Power On/Off,On Screen Display"
Input Signal,'3G SDI*VGAHDMI 2.0'Dual DVI in'DP 1.2 'HDMI 1.4'Audio In,'3G SDI*VGA'HDMI 2.0DP 1.2 'Dual DVI in'HDMI 1.4'Audio In
Output Signal,"'DP (Multi-Stream Transport)Audio Out'5V out'3G SDI (Loop Through), support 1080P*","'DP (Multi-Stream Transport)Audio Out'5V out'3G SDI (Loop Through), support 1080P*"
Product Dimensions,643.17 x 408.06 x 48 mm(25.3 x 16.1 x 1.8 in),777.58 x 477.62 x 48 mm(30.6 x 18.8 x 1.8 in)
Mounting,VESA mounting 100 x 100mmVESA mounting 200 x 100mm,VESA mounting 100 × 100mmVESA mounting 200 × 100mmVESA mounting 300 × 100mm
Product Weight,9.5 Kg (20.9 Ibs),11 Kg (24.2 Ibs)
