Signal name,Vertical Frequency (Hz),DVI,VGA,SDI,DP 1.2,HDMI 1.4,HDMI 2.0
640 x 480,60,✓,$\pmb { \nu }$,,✓,√,√
640 x 480,72,✓,$\pmb { \nu }$,,✓,√,V
640 x 480,75,✓,$\pmb { \nu }$,,✓,√,√
480P,60,✓,$\pmb { \nu }$,✓,✓,V,V
480P,72,✓,$\pmb { \nu }$,,✓,√,√
480P,75,✓,$\pmb { \nu }$,,✓,V,V
800 x 600,60,✓,$\pmb { \nu }$,,✓,√,√
800 x 600,72,✓,$\pmb { \nu }$,,✓,V,√
800 x 600,75,✓,$\pmb { \nu }$,,✓,V,√
1024 x 768,60,✓,$\pmb { \nu }$,,✓,√,√
1024 x 768,72,✓,$\pmb { \nu }$,,✓,V,v
1024 x 768,75,✓,$\pmb { \nu }$,,✓,V,√
720P,60,✓,$\pmb { \nu }$,✓,✓,√,<
720P,72,✓,$\pmb { \nu }$,,✓,V,√
720P,75,✓,$\pmb { \nu }$,,V,√,√
1280 x 1024,60,✓,$\pmb { \nu }$,,✓,√,√
1280 x 1024,72,✓,$\pmb { \nu }$,,✓,V,√
1280 x 1024,75,✓,$\pmb { \nu }$,,V,V,v
1600 x 1200,60,✓,$\pmb { \nu }$,,✓,√,√
1600 x 1200,72,✓,$\pmb { \nu }$,,✓,V,√
1600 x 1200,75,✓,$\pmb { \nu }$,,V,√,√
1920 x 1080,60,✓,$\pmb { \nu }$,✓,✓,√,√
1920 x 1080,72,✓,$\pmb { \nu }$,,V,V,√
1920 x 1080,75,✓,$\pmb { \nu }$,,V,V,√
1920 x 1200,60,✓,$\pmb { \nu }$,,✓,√,√
2560 x 1440,60,✓,,✓,✓,√,√
3840 x 2160,30,✓,,✓,✓,√,V
3840 x 2160,60,,,✓,,,
4096 x 2160,60,,,✓,,,√
