Signal name,Vertical Frequency (Hz),DVI,VGA,SDI,DP 1.2,HDMI 1.4,HDMI 2.0
640 x 480,60,✓,✓,,✓,✓,✓
640 x 480,72,✓,✓,,✓,✓,✓
640 x 480,75,✓,✓,,✓,✓,✓
480P,60,✓,✓,✓,✓,✓,✓
480P,72,✓,✓,✓,✓,✓,✓
480P,75,✓,✓,✓,✓,✓,✓
800 x 600,60,✓,✓,,✓,✓,✓
800 x 600,72,✓,✓,✓,✓,✓,✓
800 x 600,75,✓,✓,✓,✓,✓,✓
1024 x 768,60,✓,✓,,✓,✓,✓
1024 x 768,72,✓,✓,✓,✓,✓,✓
1024 x 768,75,✓,✓,✓,✓,✓,✓
720P,60,✓,✓,✓,✓,✓,✓
720P,72,✓,✓,✓,✓,✓,✓
720P,75,✓,✓,✓,✓,✓,✓
1280 x 1024,60,✓,✓,,✓,✓,✓
1280 x 1024,72,✓,✓,✓,✓,✓,✓
1280 x 1024,75,✓,✓,✓,✓,✓,✓
1600 x 1200,60,✓,✓,✓,✓,✓,✓
1600 x 1200,72,✓,✓,✓,✓,✓,✓
1600 x 1200,75,✓,✓,✓,✓,✓,✓
1920 x 1080,60,✓,✓,✓,✓,✓,✓
1920 x 1080,72,✓,✓,✓,✓,✓,✓
1920 x 1080,75,✓,✓,✓,✓,✓,✓
1920 x 1200,60,✓,✓,,✓,✓,✓
2560 x 1440,60,✓,,✓,✓,✓,✓
3840 x 2160,30,✓,,✓,✓,✓,✓
3840 x 2160,60,,,,✓,✓,✓
4096 x 2160,60,,,,✓,✓,✓
