Method,Twitter15 F1,Twitter15 Rec,Twitter15 Pre,Twitter15 Acc,Twitter16 F1,Twitter16 Rec,Twitter16 Pre,Twitter16 Acc,Improvement
DTC,0.4948,0.4806,0.4963,0.4949,0.5616,0.5369,0.5753,0.5612,
SVM-TS,0.5190,0.5186,0.5195,0.5195,0.6915,0.6910,0.6928,0.6932,
mGRU,0.5104,0.5148,0.5145,0.5547,0.5563,0.5618,0.5603,0.6612,
RFC,0.4642,0.5302,0.5718,0.5385,0.6275,0.6587,0.7315,0.6620,
tCNN,0.5140,0.5206,0.5199,0.5881,0.6200,0.6262,0.6248,0.7374,
CRNN,0.5249,0.5305,0.5296,0.5919,0.6367,0.6433,0.6419,0.7576,
CSI,0.7174,0.6867,0.6991,0.6987,0.6304,0.6309,0.6321,0.6612,
dEFEND,0.6541,0.6611,0.6584,0.7383,0.6311,0.6384,0.6365,0.7016,
GCAN-G,0.7938,0.7990,0.7959,0.8636,0.6754,0.6802,0.6785,0.7939,
GCAN,0.8250,0.8295,0.8257,0.8767,0.7593,0.7632,0.7594,0.9084,
Improvement,15.0%,20.8%,18.1%,18.7%,19.3%,15.9%,3.8%,19.9%,
