Few-shot learning models,Few-shot learning models,HOVER (2-hop),HOVER (2-hop),HOVER (3-hop),HOVER (3-hop),HOVER (4-hop),HOVER (4-hop),FEVEROUS-S,FEVEROUS-S
I,,Gold,Open,Gold,Open,Gold,Open,Gold,Open
I,"BERT-FC (Soleimani et al., 2020)",53.40,50.68,50.90,49.86,50.86,48.57,74.71,51.67
Ⅱ,"LisT5 (Jiang et al., 2021)",56.15,52.56,53.76,51.89,51.67,50.46,77.88,54.15
Ⅱ,"RoBERTa-NLI (Nie et al., 2020)",74.62,63.62,62.23,53.99,57.98,52.40,88.28,57.80
Ⅱ,"DeBERTaV3-NLI (He et al.,2021)",77.22,68.72,65.98,60.76,60.49,56.00,91.98,58.81
Ⅲ,"MULTIVERS (Wadden et al.,2022b)",68.86,60.17,59.87,52.55,55.67,51.86,86.03,56.61
Ⅲ,"Codex (Chen et al., 2021)",70.63,65.07,66.46,56.63,63.49,57.27,89.77,62.58
IV,"FLAN-T5 (Chung et al., 2022)",73.69,69.02,65.66,60.23,58.08,55.42,90.81,63.73
IV,ProgramFC (N=1),74.10,69.36,66.13,60.63,65.69,59.16,91.77,67.80
,ProgramFC (N=5),75.65,70.30,68.48,63.43,66.75,57.74,92.69,68.06
