AAA,Asbat al-Ansar
AAB,Abdallah Azzam Brigades
AAB,al-Ashtar Brigades
AAD,Ansar al-Dine
AAH,Action Against Hunger
AAH,Asa'ib Ahl al-Haq
AAI,Ansar al-Islam
AAMB,Al-Aqsa Martyrs Brigade
AAS-B,Ansar al-Shari'a in Benghazi
AAS-D,Ansar al-Shari'a in Darnah
AAS-T,Ansar al-Shari'a in Tunisia
ABM,Ansar Bayt al-Maqdis
ACA,Armed Peasant Association (Agrupación Campesina Armada)
ADF,Allied Democratic Forces
ADMM,ASEAN Defense Ministerial Meetings
AFFG,Africa Focus Group
AFRICOM,United States Africa Command
Afripol,African Union Mechanism for Police Cooperation
AILCT,International Academy for the Fight Against Terrorism
AIPJ2,Australian-Indonesia Partnership for Justice Phase 2
AMIA,Argentine Jewish Mutual Association
AMISOM,African Union Mission in Somalia
AML/CFT,Anti-Money Laundering and Countering Financing of Terrorism
AMLO,Anti-Money Laundering Office
ANA,National Customs Authority (Panama)
ANF,al-Nusrah Front
ANIF,National Agency for Financial Investigation (Chad)
Ansaru,Jama'atu Ansarul Muslimina Fi Biladis-Sudan
AOI,Army of Islam
APEC,Asia-Pacific Economic Cooperation
APG,Asia/Pacific Group on Money Laundering
API,Advance Passenger Information
APJG,Asia/Pacific Joint Group
APML,Administration for the Prevention of Money Laundering (Serbia)
AQ,al-Qa'ida
AQAP,al-Qa'ida in the Arabian Peninsula
AQI,al-Qa'ida in Iraq
AQIM,al-Qa'ida in the Islamic Maghreb
AQIS,al-Qa'ida in the Indian Subcontinent
AQY,al-Qa'ida in the Arabian Peninsula
ARF,ASEAN Regional Forum
AS,al-Shabaab
ASEAN,Association of Southeast Asian Nations
ASF,Aryan Strikeforce
