Country or Organization,Continent or Region
Afghanistan,South and Central Asia
Albania,Europe
Australia,East Asia and the Pacific
Austria,Europe
Bahrain,Middle East and North Africa
Belgium,Europe
Bosnia and Herzegovina,Europe
Bulgaria,Europe
Cameroon,Africa
Canada,
Central African Republic,Africa
Chad,Africa
Croatia,Europe
Cyprus,Europe
Czech Republic,Europe
Democratic Republic of the Congo,Africa
Denmark,Europe
Djibouti,Africa
Egypt,Middle East and North Africa
Estonia,Europe
Ethiopia,Africa
Fiji,East Asia and the Pacific
Finland,Europe
France,Europe
Georgia,Europe
Germany,Europe
Greece,Europe
Hungary,Europe
Iceland,Europe
Iraq,Middle East and North Africa
Ireland,Europe
Italy,Europe
Japan,East Asia and the Pacific
Jordan,Middle East and North Africa
Kenya,Africa
Kosovo,Europe
Kuwait,Middle East and North Africa
Latvia,Europe
Lebanon,Middle East and North Africa
Libya,Middle East and North Africa
Lithuania,Europe
Luxembourg,Europe
Malaysia,East Asia and the Pacific
