Country or Organization Afghanistan,Continent or Region South and Central Asia
Albania,Europe
Australia,East Asia and the Pacific
Austria,Europe
Bahrain,Middle East and North Africa
Belgium Bosnia and Herzegovina,Europe
Bulgaria,Europe
Cameroon,Europe Africa
Canada,
Central African Republic,Western Hemisphere Africa
Chad,Africa
Croatia,Europe
Cyprus,Europe
Czech Republic,Europe
Democratic Republic of the Congo,Africa
Denmark,Europe
Djibouti,Africa
Egypt,Middle East and North Africa
Estonia,Europe
Ethiopia,Africa
Fiji,East Asia and the Pacific
Finland,Europe
France,Europe
Georgia,Europe
Germany,Europe
Greece,Europe
Hungary,
Iceland,Europe
Iraq,Europe Middle East and North Africa
Ireland,
Italy,Europe Europe
Japan,East Asia and the Pacific
Jordan,Middle East and North Africa
Kenya,Africa
Kosovo,Europe
Kuwait,Middle East and North Africa
Latvia,Europe
Lebanon,Middle East and North Africa
Libya,Middle East and North Africa
Lithuania,Europe
Luxembourg,Europe
Malaysia,East Asia and the Pacific
