Country,Total Ban,Partial Ban,Comment/Citation
Albania,✓,,"Anything other than passive ownership of shares is prohibited for public officials. Officials must transfer the right of active ownership of the shares or parts of capital they own to another, unrelated person. Law on Prevention of the Conflicts of Interests in the Exercise of Public Functions, No. 9367, adopted on Apr. 7, 2005, published in the Official Journal, No. 31, May 11, 2005, art. 22(2) (c), art. 24 (1), art. 38 (1) (c), (i), https://perma.cc/DD3T-A825."
Armenia,✓,,"Persons holding a public office are required to transfer their stocks and shares to trust management within one month after election. Law of the Republic of Armenia on Public Service, No. ZR-205, adopted as of March 23, 2018, last amended on Feb. 7, 2020, art. 31, para. 10, https://perma.cc/45LH-X8X2 (unofficial translation)."
Belarus,✓,,"Civil servants must not hold shares for the period of performing their duties in the state service. Shares and stocks owned by civil servants must be transferred to a state-controlled trust. Law on Public Service in the Republic of Belarus, the Public Service Law, No. 204-3 of 14 June 2003, last amended on July 23, 2019, art. 22, para. 3, https://perma.cc/G6LZ-LWQJ (in Russian)."
Croatia,,√,"Members of Parliament are required to transfer to a trust shares or stocks of a company if they constitute more than 0.5% of the company's shares or stocks. Law on Prevention of Conflicts of Interest, adopted Feb. 11, 2011, last amended in 2015, art. 16(1), https://perma.cc/B8ST-XQG7."
Egypt,,√,"Presidential Decree promulgating Law No. 46 of 2014 stipulates that members of the Council of Representatives must not purchase stocks or shares, directly or indirectly, in companies during their membership in the Council. However, members may increase their capital in a company or investment project that they owned before their membership of the Council of Representatives. Law No. 46 of 2014, art. 41, al-Jaridah al-Rasmiyah [official Gazette], vol. 23 (annex), 5 June 2014, https://perma.cc/RQ4L-5ERH."
Georgia,,√,"Legislators are prohibited from owning stock in enterprises they may control in the course of their legislative work. While possession of stocks and shares is allowed by the Rules of Parliamentary Procedure, members of Parliament must not be involved in regular management of their assets. Law of Georgia on Conflict of Interest and Corruption in Public Service, No. 982-IS, adopted on Oct. 17, 1997, last amended on Dec. 30, 2021, art. 13 para. 12, https://perma.cc/P66A-YKNP, Rules of Procedure of the Parliament of Georgia, art. 7, paras. 2, 3, adopted Dec. 27, 2018, https:// perma.cc/W9C8-9738."
Greece,√,,"Article 32 of Law 2843/2000 prohibits members of the government, deputy ministers and general or special secretaries of ministries from conducting 'stock market transactions [not including] cash sales, and purchasing or selling shares of mutual funds.' Covered persons must notify the president of the Capital Market Commission of their accounts, who will monitor them for violations. Article 13 of Law 3213/2003 extends this prohibition to members of the Hellenic Parliament. Law 2843/2000 on the Modernization of Stock Exchange Transactions, Listing of Investment Companies in Seafaring Shipping on the Athens Stock Exchange and other provisions, art. 32, Government Gazette [E.K.E.D.] 2000, A:219, https://perma.cc/UGK3-VMQR; Law 3213/2003 on the Declaration and Control of Property Status of Deputies, Public Officials and Employees, Owners of Mass Media and other Categories of Persons, arts. 3A, 13, E.K.E.D. 2003, A:309, as amended, https://perma.cc/7RSV-7HGG."
Guyana,,√,"A person in public life 'must refuse or relinquish any ... shareholdings ... which creates or is likely to create a conflict of interest.' Revised Code of Conduct for Public Officers Order 10 of 2017 S 4 (3)(c), Guyana Official Gazette Cap. 26:01, Legal Supp. B (June 13, 2017), https://perma.cc/R3DY-95UM."
Israel,,√,"A Knesset member (KM) who is a 'controlling shareholder' of a corporation (e.g., holding 50% or more of stock) must sell or lease the shares within six months of commencement of term; a KM 'having an interest' in a company (e.g. controlling 5% or more of stock or having the right to appoint a director) is required to sell the shares or transfer them to a blind trust until the end of the term. Ethics Committee Decision 5/18 Regarding Holding of Shares and Prohibition of Serving as a Director in Business Company Ss 5 c, 6 (June 17, 2009), https://perma.cc/8ZLH-YUTE."
Kazakhstan,,√,"While members of Parliament are allowed to trade shares, stocks and other securities, they cannot acquire more than 5% of voting shares of a commercial organization. The Law on Combating Corruption of the Republic of Kazakhstan, No. 410-IV LRK, adopted on Nov. 18, 2015, art. 13.1(2), https://perma.cc/WS29-UQMX."
