"$ in millions, except per share data",2020,2019,2018
Earnings applicable to Morgan Stanley common shareholders,"$10,500","$8,512","$8,222"
Impact of adjustments:,,,
,Integration-related expenses,231,"—,—"
,Related tax benefit,(42),"—,—"
Adjusted earnings applicable to Morgan Stanley common shareholders—non-GAAP,"$10,689","$8,512","$8,222"
Earnings per diluted common share,$6.46,$5.19,$4.73
Impact of adjustments,0.12,—,—
Adjusted earnings per diluted common share—non-GAAP,$6.58,$5.19,$4.73
Expense efficiency ratio,70.1 %,72.7 %,72.0 %
Impact of adjustments,(0.5) %,— %,— %
Adjusted expense efficiency ratio—non-GAAP,69.6 %,72.7 %,72.0 %
Wealth Management Pre-tax margin,23.0 %,27.2 %,26.2 %
Impact of adjustments,1.2 %,— %,— %
Adjusted Wealth Management pre-tax margin—non-GAAP,24.2 %,27.2 %,26.2 %
