,Non-banking,Non-banking,Non-banking,Non-banking,Non-banking
$ in millions,Banks,Governments,Financial Institutions,Other,Total
Japan,"$16,130","$ 14,974$","30,301","$ 9,951","$71,356"
U.K.,"3,978","7,683","20,168","11,083","42,912"
Cayman Islands,14,一,"28,164","5,342","33,520"
France,"3,750","1,420","17,343","6,584","29,097"
Canada,"6,808","2,153","2,005","2,455","13,421"
Ireland,664,24,"8,466","4,191","13,345"
European Central Bank,,"12,008",,,"12,008"
Brazil,"2,464","5,074",579,"2,133","10,250"
Germany,822,"1,499","4,137","3,022","9,480"
Luxembourg,101,291,"7,139","1,289","8,820"
