At December 31, 2020, Level 1, Level 2, Level 3, Total
$ in millions, $, $, $, $,
Assets, Cash and cash equivalents^1, $, 4, $,"$,4,$,4"
Assets, U.S. government and agency securities, 3,038, 321,"$,$,3,359,$,3,359"
Assets, Corporate and other debt—CDO, $, $, $,"$,4,$,4"
Assets, Derivative contracts, $, $, $,"$,2,$,2"
Assets, Other investments, $, $, $,"$,61,$,61"
Assets, Other receivables^1, $, $, $,"$,53,$,53"
Assets, Total, $, 3,042,"$,380,$,61,$,3,483,$,3,483"
Assets Measured at NAV, Commingled trust funds:, Money market, $, $,"$,$,48,$,48"
Assets Measured at NAV, Foreign funds:, Fixed income, $, $,"$,$,169,$,169"
Assets Measured at NAV, Foreign funds:, Liquidity, $, $,"$,$,54,$,54"
Assets Measured at NAV, Foreign funds:, Targeted cash flow, $, $,"$,$,250,$,250"
Assets Measured at NAV, Total, $, $, $,"$,521,$,521"
Liabilities, Other payables^1, $, $, $,"$,(19),$,(19)"
Liabilities, Total liabilities, $, $, $,"$,(19),$,(19)"
Fair value of plan assets, $, $, $, $,"3,985,$,3,985"
