,AtDecember3T，2020,AtDecember3T，2020,AtDecember3T，2020,AtDecember3T，2020
,Amortized Cost1,Gross Unrealized Gains,Gross Unrealized Losses,Fair Value
$ in millions AFS securities,,,,
U.S.government and agency securities:,,,,
U.S.Treasury securities,"$ 45,345$","1,010 $",,"-$46,355"
U.S.agency securities²,"37,389",762,25,"38,126"
Total U.S. government and,,,,
agency securities Corporate and other debt:,"82,734","1,772",25,"84,481"
Agency CMBS,,,,
Corporate bonds,"19,982",465,9,"20,438"
State and municipal,"1,694",42,1,"1,736"
securities,"1,461",103,1,"1,563"
FFELP student loan ABS3,"1,735",7,26,"1,716"
Other ABS,449,1,1,449
Total corporate and other debt,"25,321",617,36,"25,902"
Total AFS securities,"108,055","2,389",61,"110,383"
HTM securities,,,,
U.S.government and agency securities:,,,,
U.S.Treasury securities,"29,346","1,893",一,"31,239"
U.S.agency securities²,"38,951",704,8,"39,647"
Total U.S. government and,,,,
agency securities Corporate and other debt:,"68,297","2,597",8,"70,886"
Agency CMBS,"2,632",4,2,"2,634"
Non-agency CMBS,842,58,1,900
Total Corporate and other,,,,
debt,"3,474",62,2,"3,534"
Total HTM securities,"71,771","2,659",10,"74,420"
Total investment,,,,
securities,"$179,826 $","5,048$",71,"$184,803"
