,Non-banking,Non-banking,Non-banking,Non-banking,
$ in millions,Banks,Governments,Financial Institutions,Other,Total
Japan,"$18,282 $","7,146","$ 20,376","$11,565","$57,369"
U.K.,"6,021","11,515","15,623","10,431","43,590"
Cayman Islands,12,,"24,693","5,987","30,692"
France,"4,454","1,927","9,447","6,363","22,191"
Canada,"6,794","1,205","2,606","4,163","14,768"
Ireland,274,126,"9,161","4,410","13,971"
European Central Bank,,"11,464",,,"11,464"
China,"1,451",168,"1,320","7,907",
Brazil,"2,765","2,116","1,287","4,509","10,846"
Luxembourg,82,27,"7,596","1,947","10,677"
Australia,"2,265","2,366","2,481","2,486","9,652"
Netherlands,"2,149",107,"2,163","4,788","9,598 9,207"
Germany,"1,210",838,"2,444","4,471","8,963"
