"At December 31, 2020",HFI,HFS,FVO,Total
$ in millions,HFI,HFS,,FVO
Institutional Securities:,,,,
Corporate,"$ 6,046","$ 8,580",,$ 13
Secured lending facilities,"25,727",,"3,296",648
Commercial and Residential real estate,"7,346",,859,"3,061"
Securities-based lending and Other,"1,279",,55,"7,001"
Total Institutional Securities,"40,398",,"12,790","10,723"
Wealth Management:,,,,
Residential real estate,"35,268",,11,
Securities-based lending and Other,"62,947",,,
Total Wealth Management,"98,215",,11,
Total Investment Management^,,,"6,12",425
Total loans^,"138,619",,"12,813","11,148"
ACL,(835),,,
"Total loans, net of ACL","$ 137,784","$ 12,813","$ 11,148",
Lending commitments^,,,,
Total exposure,"$ 289,600",,,
