$ in millions,"At December 31,2019","At December 31,2019","At December 31,2019","At December 31,2019"
$ in millions,IS,WM,IM,Total
Assets,,,,
Cash and cash equivalents,"$67,657$14,247",,$ 267$,"82,171"
Trading assets at fair value,"293,477",47,"3,586","297,110"
Investment securities,"38,524","67,201",一,"105,725"
Securities purchased under agreementstoresell,,,,
Securities borrowed,"80,744 106,199","7,480",,"88,224"
Customer and other receivables,"39,743","350 15,190",1,"106,549"
Loans1,"50,557","80,075",713,"55,646"
Other assets²,"14,300","13,092","5 1,975","130,637"
Total assets,"$691,201","$197,682",$6.546 $,"29,367 895,429"
