Loans Held for Investment,Loans Held for Sale,$ in millions,
Corporate,"$ 5,426$","6,192 $","11,618"
Secured lending facilities,"24,502","4,200","28,702"
Commercial real estate,"7,859",,"9,908"
Residential real estate,"30,184",13,"30,197"
Securities-based lending and Other loans,,123,"50,561"
"Total loans, gross","118,409","12,577","130,986"
Allowance for credit losses,(349),-,(349)
"Total loans, net","$ 118,060 $","12,577$","130,637"
"Fixed rate loans, net",,,
"Floating or adjustable rate loans, net",,,"22,716 107,921"
"Loans to non-U.S. borrowers, net",,,"21,617"
