At December 31, 2020
Contractual Years to Maturity,
$ in millions,
Less than 1,"1-3,3-5,Over 5,Total"
Loans,
AA,"$ 279,$ 10,$ —,$ —,289"
A,"759,798,36,391,1,984"
BBB,"5,043,5,726,2,746,469,13,984"
BB,"10,963,7,749,5,324,503,24,539"
Other NIG,"5,214,6,956,4,002,3,269,19,441"
Unrated,"141,142,330,2,322,2,935"
Total loans,"22,399,21,381,12,438,6,954,63,172"
Lending commitments,
AAA,"—,50,—,—,50"
AA,"4,047,1,038,2,135,—,7,220"
A,"6,025,8,359,9,808,425,24,617"
BBB,"6,783,17,782,15,500,460,40,525"
BB,"4,357,8,958,7,958,3,103,24,376"
Other NIG,"664,7,275,6,077,2,652,16,668"
Unrated,"4,—,—,—,4"
Total lending commitments,"21,880,43,462,41,478,6,640,113,460"
Total exposure,"$ 44,279,$ 64,843,$ 53,916,$ 13,594,$ 176,632"
