"Morgan Stanley shareholders'equity: Preferred stock 9,250","8,520"
"Common stock, $0.01 par value:",
"Shares authorized: 3,500,000,000; Shares issued:2,038,893,979; Shares outstanding:1,809,624,144 and 1,593,973,680",20
Additional paid-in capital,"20 25,546 23,935"
Retained earnings,"70,589"
,"78,694"
Employee stock trusts,"3,043 2.918"
Accumulated other comprehensive income (loss),"(1,962) (2,788)"
"Common stock held in treasury at cost, $0.01 par value (229,269,835 and 444,920,299 shares) Common stock issued to employee stock trusts","(9,767) (18,727)"
Total Morgan Stanley shareholders' equity,"(3,043) (2.918)"
Noncontrolling interests,"101,781 81,549 1,368"
,"1,148"
Total equity Total liabilities and equity $,"103,149 82,697 1,115,862 $ 895,429"
