Category,Metric,"At December 31, 2020"
Employees,Employees by geography (thousands),Americas
Employees,Employees by geography (thousands),Asia Pacific
Employees,Employees by geography (thousands),EMEA
Culture,Employee engagement²,% Proud to work at Morgan Stanley
Culture,Global gender representation,% Female
Culture,Global gender representation,% Female officer³
Diversity and Inclusion,U.S. ethnic diversity representation,% Ethnically diverse⁴
Diversity and Inclusion,U.S. ethnic diversity representation,% Ethnically diverse officer³
Retention,Voluntary attrition in 2020,% Global
Retention,Tenure,Management Committee average length of service (years)
Retention,Tenure,All employees average length of service (years)
Compensation,Compensation and benefits,Total compensation and benefits expense in 2020 (millions)
