Signature,Title
/s/JAMES P.GORMAN,Chairman of the Board and Chief Executive Officer
(James P. Gorman),(Principal Executive Officer)
/s/ JONATHAN PRUZAN,Executive Vice President and Chief Financial Officer
(Jonathan Pruzan),(Principal Financial Officer)
/s/RAJA J. AKRAM (Raja J. Akram),Deputy Chief Financial Officer
,(Chief Accounting Officer and Controller)
/s/ELIZABETHCORLEY,Director
(Elizabeth Corley),
/s/ALISTAIR DARLING (Alistair Darling),Director
/s/THOMAS H. GLOCER (Thomas H. Glocer),Director
/s/ROBERTH.HERZ,Director
(Robert H.Herz),
/s/NOBUYUKIHIRANO (Nobuyuki Hirano),Director
/s/SHELLEY B. LEIBOWITZ,Director
(Shelley B.Leibowitz),
/s/STEPHEN J.LUCZO (Stephen J.Luczo),Director
/s/JAMI MISCIK (Jami Miscik),Director
/s/DENNIS M. NALLY,Director
(Dennis M. Nally),
/s/TAKESHI,
OGASAWARA (Takeshi Ogasawara),Director
/s/HUTHAMS.OLAYAN,Director
(Hutham S. Olayan) /s/MARYL. SCHAPIRO,Director
(Mary L. Schapiro),
/s/PERRY M. TRAQUINA,Director
"(Perry M. Traquina) /s/RAYFORD WILKINS,",Director
"JR. (Rayford Wilkins,Jr.)",
