$in millions,Counterparty Credit Rating1,Counterparty Credit Rating1,Counterparty Credit Rating1,Counterparty Credit Rating1,Counterparty Credit Rating1,Total
$in millions,AAA,AA,A,BBB,NIG,Total
"AtDecember 31,2020",,,,,,
<1 year,,"$1,179 $16,166 $52,164 $26,088 $12,175 $107,772",,,,
1-3 years,572,"5,225","17,560","13,750","8,134","45,241"
3-5years,359,"4,326","11,328","8,363","4,488","28,864"
Over5years,"4,545","32,049","84,845","63,084",,
"Total, gross",,"$ 57,766","$165,897","$111,285","13,680","198,203"
Counterparty netting,"$6,655",,,,"$38,477","$380,080"
Cash and securities,"(3,269)",,"(44,306) (134,310)","(84,171)",,"(22,227） (288,283)"
collateral,"(3,124)","(10,973)","(26,712)","(20,708)","(8,979)","(70,496)"
"Total, net",$,,,,"262$ 2,487 $ 4,875 $ 6,406$ 7,271 $21,301",
