$ in millions,Loans Held for Investment,Loans Held forSale,Total Loans
Corporate,"$ 6,046$","8,580","$ 14,626"
Secured lending facilities,"25,727","3,296","29,023"
Commercial real estate,"7,346",822,"8,168"
Residential real estate,"35,268",48,"35,316"
Securities-based lending,,,
"and Other loans Total loans,before ACL","64,232","67 12,813","64,299"
ACL,"138,619",,"151,432"
"Total loans, net",(835),"12,813 $",(835)
"Fixed rate loans, net","$ 137,784$",,"150,597"
"Floating or adjustable rate loans,net",,,"$ 32,796"
,,,"117,801"
"Loans to non-U.S.borrowers, net",,,"21,081"
