,"At December 31,2020","At December 31,2020","At December 31,2020"
,Amortized Cost,Fair Value,Annualized AYealde
Sin millions AFS securities,,,
U.S. government and agency securities:,,,
U.S. Treasury securities:,,,
Due within 1 year,"$ 14,813 $","14,888",1.1%
After1year through 5 years,"25,630","26,401",1.4 %
After 5 years through 10 years,"4,902","5,066",1.2 %
Total,"45,345","46,355",
U.S. agency securities:,,,
Due within 1 year,6,6,1.4 %
After 1 year through 5 years,173,177,1.5%
After 5 years through 10 years,"1,247","1,283",1.7%
After 10 years,"35,963","36,660",1.5%
Total,"37,389","38,126",
Total U.S.government and agency securities,"82,734","84,481",1.4 %
Corporate and other debt: Agency CMBS:,,,
Due within 1 year,95,96,1.2 %
After 1 year through 5 years,"1,385","1,400",1.0%
After 5 years through 10 years,"14,123","14,544",1.4 %
After 10 years,"4,379","4,398",1.3%
Total,"19,982","20,438",
Corporate bonds:,,,
Due within 1 year,286,289,2.4 %
After 1 year through 5 years,"1,193","1,224",2.6 %
After 5 years through 10 years,204,212,2.6 %
After 10 years,11,11,1.7 %
Total,"1,694","1,736",
State and municipal securities:,,,
Due within 1 year,3,3,1.8 %
After 1 year through 5 years,28,29,1.7 %
After 5 years through 10 years,87,91,2.4%
After 10 years,"1,343","1,440",2.7%
Total,"1,461","1,563",
FFELP student loan ABS:,,,
After 1 year through 5 years,90,86,0.8%
After 5 years through 10 years,239,228,0.9 %
After 10 years,"1,406","1,402",1.2 %
Total,"1,735","1,716",
Other ABS:,,,
Due within 1 year,3,3,0.3%
After1year through 5 years,446,446,0.4 %
Total,449,449,
Total corporateand other debt,"25,321","25,902",1.5%
Total AFS securities,"108,055","110,383",1.4%
