$ in millions,At December 31,2020,At December 31,2019,Change
Common Equity Tier 1 capital,Common stock and surplus,"$ 15,799","$ 5,228","$ 10,571",
Common Equity Tier 1 capital,Retained earnings,"$ 78,978","$ 70,589","$ 8,389",
Common Equity Tier 1 capital,AOCI,"(1,962)","(2,788)",826,
Regulatory adjustments and deductions:,Net goodwill,"(11,527)","(7,081)","(4,446)",
Regulatory adjustments and deductions:,Net intangible assets,"(4,165)","(2,012)","(2,153)",
Regulatory adjustments and deductions:,Other adjustments and deductions,"1,527",815,712,
Total Common Equity Tier 1 capital,"$ 78,650","$ 64,751","$ 13,899",,
Additional Tier 1 capital,Preferred stock,"$ 9,250","$ 8,520",$ 730,
Additional Tier 1 capital,Noncontrolling interests,$ 619,$ 607,$ 12,
Additional Tier 1 capital,"$ 9,869","$ 9,127",$ 742,,
Additional Tier 1 capital,Deduction for investments in covered funds,(440),(435),(5),
Total Tier 1 capital,"$ 88,079","$ 73,443","$ 14,636",,
Standardized Tier 2 capital,Subordinated debt,"$ 7,737","$ 8,538",$ (801),
Standardized Tier 2 capital,Noncontrolling interests,$ 146,$ 143,$ 3,
Standardized Tier 2 capital,Eligible allowance for credit losses,"$ 1,265",$ 590,$ 675,
Standardized Tier 2 capital,Other adjustments and deductions,(14),(6),(8),
Total Standardized Tier 2 capital,"$ 9,134","$ 9,265",$ (131),,
Total Standardized capital,"$ 97,213","$ 82,708","$ 14,505",,
Advanced Tier 2 capital,Subordinated debt,"$ 7,737","$ 8,538",$ (801),
Advanced Tier 2 capital,Noncontrolling interests,$ 146,$ 143,$ 3,
Advanced Tier 2 capital,Eligible credit reserves,"$ 1,046",$ 305,$ 741,
Advanced Tier 2 capital,Other adjustments and deductions,(14),(6),(8),
Total Advanced Tier 2 capital,"$ 8,915","$ 8,980",$ (65),,
Total Advanced capital,"$ 96,994","$ 82,423","$ 14,571",,
