$ in millions,2020,2019,2018,Corporate equities
Beginning balance,$ 97,$ 95,$ 166,Realized and unrealized gains (losses)
$(55),$(8),29,Purchases,
36,32,13,Sales,
(17),(271),(161),Net transfers,
25,249,48,Ending balance,
$ 86,$ 97,$ 95,Unrealized gains (losses),
$(39),$ 1,$ 17,Investments,
Beginning balance,$ 858,$ 757,"$ 1,020",Realized and unrealized gains (losses)
32,78,(25),Purchases,
61,40,149,Sales,
(106),(41),(212),Net transfers,
(17),24,(175),Ending balance,
$ 828,$ 858,$ 757,Unrealized gains (losses),
$(45),$ 67,$(27),Investment securities —AFS,
Beginning balance,$ —,$ —,$ —,Realized and unrealized gains (losses)
5,—,—,Purchases,
"2,799",—,—,Ending balance,
"$ 2,804",$ —,$ —,Unrealized gains (losses),
$ 5,—,$ —,Securities purchased under agreements to resell,
Beginning balance,$ —,$ —,$ —,Net transfers
3,—,—,Ending balance,
$ 3,$ —,$ —,Unrealized gains (losses),
$ —,$ —,$ —,Net derivatives: Interest rate,
Beginning balance,$ 777,$ 618,"$ 1,218",Realized and unrealized gains (losses)
$(150),17,111,Purchases,
174,98,63,Issuances,
(44),(16),(19),Settlements,
40,1,(172),Net transfers,
(115),59,(583),Ending balance,
$ 682,$ 777,$ 618,Unrealized gains (losses),
$ (34),$ 87,$ 140,Net derivatives: Credit,
Beginning balance,$ 124,$ 40,$ 41,Realized and unrealized gains (losses)
$(91),(24),33,Purchases,
98,144,13,Issuances,
(112),(190),(95),Settlements,
94,111,56,Net transfers,
(64),43,(8),Ending balance,
$ 49,$ 124,$ 40,Unrealized gains (losses),
$ (111),$(17),$ 23,Net derivatives: Foreign exchange,
Beginning balance,$ (31),$ 75,$ (112),Realized and unrealized gains (losses)
156,(295),179,Purchases,
4,2,3,Issuances,
——,——,(1),Settlements,
(17),7,2,Net transfers,
(51),180,4,Ending balance,
$ 61,$ (31),$ 75,Unrealized gains (losses),
$ 94,$(187),$ 118,,
