"At December 31, 2019",Level 1,Level 2,Level 3,Netting1,Total
$ in millions,"$36,866","$28,992",$22,—,"$65,880"
Assets at fair value,,,,,
Trading assets:,,,,,
U.S. Treasury and agency securities,"$36,866","$28,992",$22,—,"$65,880"
Other sovereign government obligations,"23,402","4,347",5,—,"27,754"
State and municipal securities,—,"2,790",1,—,"2,791"
MABS,—,"1,690",438,—,"2,128"
Loans and lending commitments2,—,"6,253","5,073",—,"11,326"
Corporate and other debt,—,"22,124","1,396",—,"23,520"
Corporate equities3,"123,942",652,97,—,"124,691"
Derivative and other contracts:,,,,,
Interest rate,"1,265","182,977","1,239",—,"185,481"
Credit,—,"6,658",654,—,"7,312"
Foreign exchange,15,"64,260",145,—,"64,420"
Equity,"1,219","48,927",922,—,"51,068"
Commodity and other,"1,079","7,255","2,924",—,"11,258"
Netting1,"(2,794)","(235,947)",(993),"(47,804)","(287,538)"
Total derivative and other contracts,784,"74,130","4,891","(47,804)","32,001"
Investments4,481,252,858,—,"1,591"
Physical commodities,—,"1,907",—,—,"1,907"
Total trading assets4,"185,475","143,137","12,781","(47,804)","293,589"
Investment securities — AFS,"32,902","29,321",—,—,"62,223"
Securities purchased under agreements to resell,—,4,—,—,4
Total assets at fair value,"$218,377","$172,462","$12,781","$(47,804)","$355,816"
