Advisor-led channel,2020,2019,2018
Advisor-led client assets,"$3,167","$2,623","$2,254"
Fee-based client assets,"$1,472","$1,267","$1,046"
Fee-based asset flows,$77.4,$64.9,$65.9
Fee-based client assets as a percentage of advisor-led client assets,46%,48%,46%
Wealth Management representatives (in thousands),16,15,16
Self-directed channel,2020,2019,2018
Self-directed assets,$832,$77,$49
"Daily average revenue trades (""DARTs"") (in thousands)",280,3,3
Self-directed households (in millions),6.7,1.6,1.1
Workplace channel,2020,2019,2018
Workplace unvested assets,$435,$133,$13
Number of participants (in millions),4.9,2.7,1.0
