$ in millons,2020 2019,,2018
Preferred Stock,,,
Beginning balance,"$ 8,520 $",8.520 $,8.520
Issuance of preferred stock1,730,500,二
Redemption of preferred stock²,二,（500）,三
Ending balance,"9,250",8.520,8.520
Common Stock,,,
Beginning and ending balance,20,20,20
Additional Paid-in Capital Beginning balance,,,
Share-based award activity,"23,935","23,794",23.545
Issuance of preferred stock,518,131,249
Issuance of common stock for the acquisition of E*TRADE1,二,（3）,二
Other net increases (decreases),"1,093",二,二
,二,13,1
Ending balance Retained Earnings,"25,546",23.935,"23,794"
Beginning balance,,,
Cumulative adjustments for accounting changes,"70,589","64,175","57,577"
Net income applicable to Morgan Stanley,（100）,63,306
Preferred stock dividends4,"10,996",9.042,8.748
Common stock dividends4,(496),(524),(526)
Other net increases (decreases),"(2,295)","(2,161)",(1.930)
Ending balance,1,（6）,二
,"78,694","70,589","64,175"
Employee Stock Trusts,,,
Beginning balance,2.918,"2,836",2.907
Share-based award activity Ending balance,125,82,（71)
Accumulated Other Comprehensive Income (Loss),"3,043",2.918,"2,836"
Beginning balance,,,
Cumulative adjustments for accounting changes3,"(2,788)",(2.292),"(3,060)"
Net change in Accumulated other comprehensive income (loss),1,1,（437)
Ending balance,826,(496),"1,205"
Common Stock Held in Treasury at Cost,"(1,962)",(2.788),(2.292)
Beginning balance,,,
Share-based award activity,"(18,727)",(13.971),"(9,211)"
Repurchases of common stock and employee tax withholdings,932,"1,198",806
Issuance of common stock for the acquisition of E*TRADE1,"(1,890)","(5,954)","(5,566)"
Ending balance,9.918,二,二
Common Stock Issued to Employee Stock Trusts,"（9,767)","(18,727)",(13.971)
Beginning balance,(2.918),(2.836),(2.907)
Share-based award activity,(125),(82）,71
Ending balance,"(3,043)",(2.918),(2.836)
Noncontrolling Interests,,,
Beginning balance,"1,148","1,160",1.075
Net income applicable to noncontrolling iterests,183,195,135
Net change in Accumulated other comprehensive income (loss) applicable to noncontrolling,,,
interests,42,(69),87
Other net increases (decreases),（5),(138),(137)
Ending balance Total Equity,"1,368 $ 103,149 $","1,148 82,697 $","1,160 81,406"
