2020,Pre-tax Gain (Loss),Income Tax Benefit (Provision),After-tax Gain (Loss),Non-controlling Interests,Net
$ in millions,,,$,,","
CTA,OCI activity,$ 74 $,99 $,$ 173 $,"68 $,105"
Reclassified to earnings,(3) ,-,,(3) ,"-,3"
Net OCI,$ 71 $,99 $,$ 170 $,68 $,102
Change in net unrealized gains (losses) on AFS securities,OCI activity,$ 2,194 $,(508) $,"$ 1,686 $,-,1,686"
Reclassified to earnings,(137) ,31 ,,(106) ,"-,106"
Net OCI,$ 2,057 $,(477) $,$ 1,"580 $,-,1,580"
Pension and other,OCI activity,$ 162 $,(34) $,$ 128 $,"-,128"
Reclassified to earnings,23 ,,(5) ,18 ,"-,18"
Net OCI,$ 185 $,(39) $,$ 146 $,-,146
Change in net DVA,OCI activity,$(1,385) $,337 $,"$(1,048) $,(26) $(1,022)"
Reclassified to earnings,26 ,,(6) ,20 ,"-,20"
Net OCI,$(1,359) $,331 $,$(1,"028) $,(26) $(1,002)"
