At December 31, 2020,HFI,HFS,FVO,Total
$ in millions,HFI,HFS,FVO,Total,
Institutional Securities:,HFI,HFS,FVO,Total,
Corporate,$ 6,046,$ 8,580,"$ 13,$ 14,639"
Secured lending facilities,25,727,3,296,"648,29,671"
Commercial and Residential real estate,7,346,859,3,"061,11,266"
Securities-based lending and Other,1,279,55,7,"001,8,335"
Total Institutional Securities,40,398,12,790,"10,723,63,911"
Wealth Management:,HFI,HFS,FVO,Total,
Residential real estate,35,268,11,--,"35,279"
Securities-based lending and Other,62,947,--,--,
Total Wealth Management,98,215,11,--,"98,226"
Total Investment Management^,6,12,425,443,
Total loans^,138,619,12,813,"11,148,162,580"
ACL,(835),,(835),,
Total loans, net of ACL,$ 137,784,$ 12,"813,$ 11,148,$ 161,745"
Lending commitments^,,$ ,,$ 127,855
Total exposure,$ 289,600,,,
