U.S. Treasury and agency securities,Beginning balance,Realized and unrealized gains (losses),Purchases,Sales,Net transfers,Ending balance,Unrealized gains (losses)
2020,$ 22,$ 1,-,(22),8,$ 9,$ -
2019,$ 54,$ 4,17,(54),1,$ 22,$ 4
2018,-,$ 1,53,-,-,$ 54,$ 1
Other sovereign government obligations,Beginning balance,Realized and unrealized gains (losses),Purchases,Sales,Net transfers,Ending balance,Unrealized gains (losses)
2020,$ 5,-,265,(2),-,$ 268,$ -
2019,$ 17,(3),7,(6),(10),$ 5,$ -3
2018,$ 1,-,41,(26),1,$ 17,$ -
State and municipal securities,Beginning balance,Purchases,Sales,Net transfers,Ending balance,Unrealized gains (losses),
2020,$ 1,-,-,(1),$ -,$ -,
2019,$ 148,-,(147),-,$ 1,$ -,
2018,$ 8,147,(9),2,$ 148,$ -,
MABS,Beginning balance,Realized and unrealized gains (losses),Purchases,Sales,Settlements,Net transfers,"Ending balance,Unrealized gains (losses)"
2020,$ 438,(66),175,(244),-,19,"$ 322,$ (49)"
2019,$ 354,(16),132,(175),(44),187,"$ 438,$ (57)"
2018,$ 423,82,177,(338),(17),27,"$ 354,$ (9)"
Loans and lending commitments,Beginning balance,Realized and unrealized gains (losses),Purchases and originations,Sales,Settlements,Net transfers,"Ending balance,Unrealized gains (losses)"
2020,"$ 5,073",(65),"3,479",(957),-,425,"$ 5,759,$ 58"
2019,"$ 6,870",38,"2,337","(1,268)","(2,196)",(613),"$ 5,073,$ (9)"
2018,"$ 5,945",(100),"5,746","(2,529)","(2,291)",89,"$ 6,870,$ (137)"
Corporate and other debt,Beginning balance,Realized and unrealized gains (losses),Purchases and originations,Sales,Settlements,Net transfers,"Ending balance,Unrealized gains (losses)"
2020,"$ 1,396",318,"2,623",(617),(311),26,"$ 3,435,$ 311"
2019,"$ 1,076",418,650,(729),(7),(12),"$ 1,396,$ 361"
2018,$ 701,106,734,(251),(11),(203),"$ 1,076,$ 70"
