$in millons,2020,2019,,2018
Current,,,,
U.S.: Federal,,$,873$,686
State and local,"$1,641 399",,260,207
Non-U.S.:,,,,
U.K.,395,,166,328
Japan,185,,177,268
Hong Kong,185,,82,94
Other1,684,,341,318
Total,"$3,489",$,"1,899 $","1,901"
Deferred,,,,
U.S.:,,,,
Federal,$,(249) $,185$,330
State and local,,(38),46,56
Non-U.S.:,,,,
U.K.,,(2),5,54
Japan,,12,11,（10)
Hong Kong,,(3),二,(3)
Other1,,30,(82),22
Total,$,(250) $,165$,449
Provision for income taxes from continuing operations,"$ 3,239",$,2.064 $,"2,350"
Provision for income taxes from discontinued,,,,
operations,$,,1 $,(1)
