$ in millions,"At December 31,2019","At December 31,2019","At December 31,2019","At December 31,2019"
$ in millions,HFI,HFS,FVO,Total
Institutional Securities:,,,,
Corporate,"$ 5,426","$ 6,192",$,"20 $ 11,638"
Secured lending facilities,"24,502","4,200",951,"29,653"
Commercial and Residential real estate,"7,859","2,049","3,290","13,198"
Securities-based lending and Other,503,,"123 6,814","7,440"
Total Institutional Securities,"38,290","12,564","11,075","61,929"
Wealth Management:,,,,
Residential real estate,"30,184",,13,"30,197"
Securities-based lending and Other,"49,930",,1,"49,930"
TotalWealth Management,"80,114",,13,"1 80,127"
Total Investment Management1,5,,二,251 256
Total loans²,"118,409","12,577","11,326","142,312"
ACL,(349),,,(349)
"Total loans, net of ACL","$118,060","$ 12,577","$11,326","$141,963"
Lending commitments³,,,,"$120,068"
Total exposure,,,,"$262,031"
