$ in millions,2020,2019,2018,% Change
Revenues,,,,
Investment banking,$ 559,$ 509,$ 475,"10 %,7 %"
Trading,844,734,279,"15 %,163 %"
Investments,12,2,1,"N/M,100 %"
Commissions and fees,"2,291",,"1,726","1,804"
Asset management,"10,955",,"10,199","10,158"
Other,372,345,248,"8 %,39 %"
Total non-interest revenues,"15,033",,"13,515","12,965"
Interest income,"4,771",,"5,467","5,498"
Interest expense,749,"1,245","1,221","(40)%,2 %"
Net interest,"4,022",,"4,222","4,277"
Net revenues,"19,055",,"17,737","17,242"
Compensation and benefits,"10,970",,"9,774","9,507"
Non-compensation expenses,"3,698",,"3,131","3,214"
Total non-interest expenses,"14,668",,"12,905","12,721"
Income from continuing operations before income taxes,"4,387","4,832","4,521","(9)%,7 %"
Provision for income taxes,"1,026","1,104","1,049","(7)%,5 %"
Net income applicable to Morgan Stanley,"$ 3,361","$ 3,728","$ 3,472","(10)%,7 %"
