$ in millions,2020,2019,2018,2020 2019
Revenues,Trading,$ (34),$ (8),"$ 25,N/M (132)%"
Investments,808,1,213,"254,N/M"
Commissions and fees,1,1,"—""""",
Asset management,3,013,2,"629,2,468,15 % 7 %"
Other,(39),(46),(30),15 % (53)%
Total non-interest revenues,3,749,3,"789,2,717,(1) % 39 %"
Interest income,14,20,57,(30) % (65)%
Interest expense,29,46,28,(37) % 64 %
Net interest,(15),(26),29,42 % (190)%
Net revenues,3,734,3,"763,2,746,(1) % 37 %"
Compensation and benefits,1,542,1,"630,1,167,(5) % 40 %"
Non-compensation expenses,1,322,1,"148,1,115,15 % 3 %"
Total non-interest expenses,2,864,2,"778,2,282,3 % 22 %"
Income from continuing operations before income taxes,870,985,464,(12) % 112 %
Provision for income taxes,171,193,73,(11) % 164 %
Income from continuing operations,699,792,391,(12) % 103 %
Income from discontinued operations, net of income taxes,—,—,"2,N/M (100)%"
Net income,699,792,393,(12) % 102 %
Net income applicable to noncontrolling interests,84,73,17,15 % N/M
Net income applicable to Morgan Stanley,$ 615,$ 719,$ 376,(14) % 91 %
