,Corporate,Corporate,Secured lending,Secured lending,,,Residential real estate,Residential real estate,SBL and Other,SBL and Other
"$ in millions December31,",,,facilities,facilities,CRE,CRE,,,Total,
2017,$,63 $,41,$,70 $,24,$ 26,$,224,
Gross charge- offs,,(1),,,,,(1),(4),(6),
Recoveries,,54,,,,,一,一,54,
Net (charge-offs),,,,,,,,,,
recoveries,,53,,,,,(1),(4),48,
Provision (release)1,,(53),,20,5,,(3),7,(24),
Other,,(1),,(1),(8),,,,(10),
"December 31,",,,,,,,,,,
,,62$,,,67$,,20$29$,,,
2018,$,,,60$,,,,,238,
