,Counterparty Credit Rating1,Counterparty Credit Rating1,Counterparty Credit Rating1,Counterparty Credit Rating1,Counterparty Credit Rating1,
$in millions,AAA,AA,A,BBB,NIG,Total
"At December 31,2019",,,,,,
<1 year,$ 371$,,,"9,195$31,789$22,757",$,"6,328$ 70,440"
1-3 years,378,"5,150","17,707","11,495","9,016","43,746"
3-5 years,502,"4,448","9,903","6,881","3,421","25,155"
Over 5 years,"3,689","24,675","70,765","40,542","14,587","154,258"
"Total, gross","$4,940","$43,468","$130,164","$81,675","$33,352","$293,599"
Counterparty,"(2,172)",,"(33,521） (103,452)","(62,345)","(19,514)","(221,004)"
nattina Cash and securities collateral,,,,,,
"Total, net",(2.641) $,"127 $ 1,813","(8,134) $","(22,319) 4,393 $","(14,570) (10,475) 4,760 $ 3.363","(58,139) $14,456"
