Title of each class,Trading Symbol(s),Name of exchange on which registered
"""Common Stock, $0.01 par value""",MS,New York Stock Exchange
"""Depository Shares, each representing 1/1,000th interest in a share of Floating Rate Non-Cumulative Preferred Stock, Series A, $0.01 par value""",MS/PA,New York Stock Exchange
"""Depository Shares, each representing 1/1,000th interest in a share of Fixed-to-Floating Rate Non-Cumulative Preferred Stock, Series E, $0.01 par value""",MS/PE,New York Stock Exchange
"""Depository Shares, each representing 1/1,000th interest in a share of Fixed-to-Floating Rate""",,New York Stock Exchange
"""Non-Cumulative Preferred Stock, Series F, $0.01 par value Depositary Shares, each representing 1/1,000th interest in a share of Fixed-to-Floating Rate""",MS/PF,New York Stock Exchange
"""Non-Cumulative Preferred Stock, Series I, $0.01 par value Depositary Shares, each representing 1/1,000th interest in a share ofFixed-to-Floating Rate""",MS/PI,New York Stock Exchange
"""Non-Cumulative Preferred Stock, Series K, $0.0l par value Depositary Shares, each representing 1/1,000th interest in a share of 4.875%""",MS/PK,New York Stock Exchange
"""Non-Cumulative Preferred Stock, Series L, $0.01 par value""",MS/PL,New York Stock Exchange
"""Global Medium-Term Notes, Series A, Fixed Rate Step-Up Senior Notes Due 2026 of Morgan Stanley Finance LLC (and Registrant’s guarantee with respect thereto)""",MS/26C,New York Stock Exchange
"""Morgan Stanley Cushing® MLP High Income Index ETNs due March 21, 2031""",MLPY,"NYSE Arca, Inc."
