2019,Pre-tax Gain (Loss),Income Tax Benefit (Provision),After-tax Gain (Loss),Non-controlling Interests,Net
$ in millions,,-,-,-,-
CTA,OCI activity,6,3,3,"11,-8"
Reclassified to earnings,-,-,-,-,-
Net OCI,6,-3,3,11,-8
Change in net unrealized gains (losses) on AFS securities,OCI activity,1588,-373,1215,"-,-1215"
Reclassified to earnings,-103,25,-78,-,-78
Net OCI,1485,-348,1137,-,-1137
Pension and other,OCI activity,-98,25,-73,"-,-73"
Reclassified to earnings,12,-5,7,-,-7
Net OCI,-86,20,-66,-,-66
Change in net DVA,OCI activity,-2181,533,-1648,"-,-1568"
Reclassified to earnings,11,-2,9,-,-9
Net OCI,-2170,531,-1639,-,-1559
