,"Years to Maturityat December 31,2020","Years to Maturityat December 31,2020","Years to Maturityat December 31,2020","Years to Maturityat December 31,2020",Total
,Less than 1,1-3,3-5,Over 5,Total
$in millions Lending:,,,,,
Corporate,"$ 15,362 $ 37,720 $ 39,886 $",,,,"5,896$ 98,864"
Secured lending facilities,"5,574","4,790","1,399",271,"12,034"
Commercial and Residential real estate,432,244,88,244,"1,008"
Securities-based lendingand Other,"12,178","3,063",225,483,
Forward-starting secured financing,,,,,"15,949"
receivables,"57,164",,,,"57,164"
Central counterparty1,300,,,"9,286","9,586"
Underwriting,"3,037",1,1,1,"3,037"
Investment activities,804,215,73,316,"1,408"
Letters of credit and other financial guarantees,,,一,3,
Total,174,"1 $95,025$46,033$41,671 $16,499",,,"178 $199,228"
Lending commitments participated to third parties,,,,,$
,,,,,"9,035"
Forward-starting secured financing receivables settled within three,,,,,
business days,,,,,"$ 54,542"
