"Years to Maturity at December 31, 2020",Less than 1,1-3,3-5,Over 5,Total
$L in millions',,15362,37720,39886,
Lending:,Corporate,15362,37720,39886,
,Secured lending facilities,5574,4790,1399,271
,Commercial and Residential real estate,432,244,88,244
,Securities-based lending and Other,12178,3063,225,483
,Forward-starting secured financing receivables,,,,
,Central counterparty,300,,,
,Underwriting,3037,,,
,Investment activities,804,215,73,316
,Letters of credit and other financial guarantees,174,1,,3
Total,95025,46033,41671,16499,
Lending commitments participated to third parties,,,,9035,
Forward-starting secured financing receivables settled within three business days,,,,54542,
