At December 31, 2020
IS,"WM,IM,Total"
Cash and cash equivalents,"$ 74,281,$ 31,275,$ 98,$ 105,654"
Trading assets at fair value,"308,413,280,4,045,312,738"
Investment securities,"41,630,140,524,—,182,154"
Securities purchased under agreements to resell,"84,998,31,236,—,116,234"
Securities borrowed,"110,480,1,911,—,112,391"
Customer and other receivables,"67,085,29,781,871,97,737"
Loans,"52,449,98,130,18,150,597"
Other assets,"13,986,22,458,1,913,38,357"
Total assets,"$ 753,322,$ 355,595,$ 6,945,$ 1,115,862"
