Liabilities,Bilateral OTC,Cleared OTC,Exchange-Traded,Total
$ in millions,$,$,$,$
Designated as accounting hedges,Interest rate,$,19,"$,19"
,Foreign exchange,291,99,"—,390"
,Total,291,118,"—,409"
Not designated as accounting hedges,Interest rate,"210,015","7,965","639,218,619"
,Credit,"5,293","2,859","—,8,152"
,Foreign exchange,"92,975","1,500","43,94,518"
,Equity,"49,943",—,"36,585,86,528"
,Commodity and other,"8,831",—,"3,359,12,190"
,Total,"367,057","12,324","40,626,420,007"
Total gross derivatives,"$ 367,348","$ 12,442",$,"$ 420,416"
Amounts offset,Counterparty netting,"(276,682)","(11,601)","(35,260),(323,543)"
,Cash collateral netting,"(51,112)",(823),"—,(51,935)"
Total in Trading liabilities,"$ 39,554",$ 18,"$ 5,366","$ 44,938"
Amounts not offset,Financial instruments collateral,"(10,598)",—,"(1,520),(12,118)"
,Other cash collateral,(62),(3),"—,(65)"
Net amounts,"$ 28,894",$ 15,$,"$ 3,846,$ 32,755"
Net amounts for which master netting or collateral agreements are not in place or may not be legally enforceable,$,$,$,"$,$ 6,746"
