$in millions,Liabilities,Liabilities,Liabilities,Liabilities
$in millions,Bilateral OTC,Cleared OTC,Exchange- Traded,Total
Designated as accounting hedges,,,,
Interest rate,$,1$,19$,19
Foreign exchange,291,,99,390
Total,291,118,,409
Not designated as accounting hedges,,,,
Interest rate,"210,015","7,965",639,"218,619"
Credit,"5,293","2,859",1,"8,152"
Foreign exchange,"92,975","1,500",43,"94,518"
Equity,"49,943",1,"36,585","86,528"
Commodity and other,"8,831",1,"3,359","12,190"
Total,"367,057","12,324","40,626","420,007"
Total gross derivatives,"$367,348","$12,442 $","40,626","$420,416"
Amounts offset,,,,
Counterparty netting,,"(276,682) (11,601)",,"(35,260) (323,543)"
Cash collateral netting,"(51,112)",(823),,"(51,935)"
Total in Trading liabilities,"$39,554 $",,18$,"5,366$44,938"
Amounts not offsetl,,,,
Financial instruments collateral,"(10,598)",,"(1,520)","(12,118)"
Other cash collateral,(62),,(3),1 (65)
Net amounts,"$28,894 $",,15$,"3,846$32,755"
Netamounts for which master neting or collateral agreements are not in place or may not be legally enforceable,Netamounts for which master neting or collateral agreements are not in place or may not be legally enforceable,Netamounts for which master neting or collateral agreements are not in place or may not be legally enforceable,Netamounts for which master neting or collateral agreements are not in place or may not be legally enforceable,Netamounts for which master neting or collateral agreements are not in place or may not be legally enforceable
