$ in millions,2020 IS,2020 WM,2020 IM,2020 I/E,Total
Investment banking,"$ 7,204",$ 559,$ —,$ (89),"$ 7,674"
Trading,"13,106",844,(34),76,"13,992"
Investments,166,12,808,—,986
Commissions and fees¹,"2,935","2,291",1,(376),"4,851"
Asset management¹,461,"10,955","3,013",(157),"14,272"
Other,(214),372,(39),(9),110
Total non-interest revenues,"23,658","15,033","3,749",(555),"41,885"
Interest income,"5,809","4,771",14,(432),"10,162"
Interest expense,"3,519",749,29,(448),"3,849"
Net interest,"2,290","4,022",(15),16,"6,313"
Net revenues,"$ 25,948","$ 19,055","$ 3,734",$ (539),"$ 48,198"
Income from continuing operations before income taxes,"$ 9,151","$ 4,387",$ 870,$ 10,"$ 14,418"
Provision for income taxes,"2,040","1,026",171,2,"3,239"
Income from continuing operations,"7,111","3,361",699,8,"11,179"
Income (loss) from discontinued operations, net of income taxes,—,—,—,"—,—"
Net income,"7,111","3,361",699,8,"11,179"
Net income applicable to noncontrolling interests,99,—,84,—,183
Net income applicable to Morgan Stanley,"$ 7,012","$ 3,361",$ 615,$ 8,"$ 10,996"
