$ in millions,2020,2019,2018
"Interest income,Investment securities","$ 2,282","$ 2,175","$ 1,744"
"Interest income,Loans","4,142","4,783","4,249"
"Interest income,Securities purchased under agreements to resell and Securities borrowed1",(194),"3,485","1,976"
"Interest income,Trading assets, net of Trading liabilities","2,417","2,899","2,392"
"Interest income,Customer receivables and Other2","1,515","3,756","3,531"
"Interest income,Total interest income","$ 10,162","$ 17,098","$ 13,892"
"Interest expense,Deposits",953,"1,885","1,255"
"Interest expense,Borrowings","3,250","5,052","5,031"
"Interest expense,Securities sold under agreements to repurchase and Securities loaned",983,"2,609","1,898"
"Interest expense,Customer payables and Other4","(1,337)","2,858","1,902"
"Interest expense,Total interest expense","$ 3,849","$ 12,404","$ 10,086"
"Interest expense,Net interest","$ 6,313","$ 4,694","$ 3,806"
