2020 Per Share,2020 Total,2019 Per Share,2019 Total,2018 Per Share,2018 Total
"$1,017",$44,"$1,014",$44,"$1,011",$45
C,$100,$52,100,$52,"100,$52"
E,"$1,781",$60,"1,781",$60,"1,781,$61"
F,"$1,719",$60,"1,719",$60,"1,719,$58"
G,-,-,"1,242",$24,"1,656,$33"
H,"$1,143",$60,"1,418",$74,"1,363,$71"
I,"$1,594",$64,"1,594",$64,"1,594,$64"
J,"$1,213",$74,"1,388",$84,"1,388,$83"
K,"$1,463",$59,"1,463",$59,"1,463,$59"
L,"$1,219",$23,169,$3,"-,-"
M,-,-,-,-,"-,-"
N,-,-,-,-,"-,-"
Total Preferred stock,$496,$524,$526,-,-
Common stock,$1.40,"$2,295",$1.30,"$2,161","$1.10,$1,930"
