$ in millions,AtDecember3T，2020,AtDecember3T，2020,AtDecember3T，2020,AtDecember3T，2020,AtDecember3T，2020
$ in millions,Level 1,Level2,Level3,Netting1,Total
Assets at fair value,,,,,
Trading assets:,,,,,
U.S. Treasury and,,,,9$,
agency securities Other sovereign,,"$43,084 $ 31,524 $",,,"-$74,617"
government,"26,174","5,048",268,,
obligations State and municipal,,,,,"31,490"
securities,一,"1,135",1,,"1,135"
MABS,1,"1,070",322,1,"1,392"
Loans and lending commitments²,,"5,389","5,759",,"11,148"
Corporate and other,,,,,
debt,,"30,093","3,435",,"33,528"
Corporate equities3,"111,575","1,142",86,,"112,803"
Derivative and other contracts:,,,,,
Interest rate,"4,458","227,818","1,210",,"233,486"
Credit,1,"6,840",701,,"7,541"
Foreign exchange,29,"93,770",260,,"94,059"
Equity,"1,132","65,943","1,369",,"68,444"
Commodity and other,"1,818","10,108","2,723",一,"14,649"
Netting1,"(5,488)","(310,534)","(1,351)","(62,956)","(380,329)"
Total derivative and,,,,,
other contracts,"1,949","93,945","4,912","(62,956)","37,850"
Investments4,624,234,828,,"1,686"
Physical commodities,二,"3,260",1,1,"3,260"
Total trading assets4,"183,406","172,840","15,619","(62,956)","308,909"
Investment securities一 AFS,"46,354","61,225","2,804",,
Securities purchased,,,,一,"110,383"
underagreementsto,,,,,
resell,,12,3,,
,,,,,15
"Total assets at fair value $229,760 $234,077",,,"$18,426 $(62,956) $419,307",,
