"December 31,","December 31,","December 31,","December 31,"
"$in billions,except employee data and as otherwise noted",2020,2019,2018
Advisor-led channel: Advisor-led client assets1,,"$2,623","$2,254"
Fee-based client assets²,"$3,167","$1,267","$1,046"
Fee-based asset flows,"$1,472",$64.9,$65.9
Fee-based client assets as a percentage of,$77.4,,
advisor-led client assets Wealth Management representatives,46%,48%,46%
(in thousands),16,15,16
Self-directed channel: Self-directed assets4,$832,$ 77,$49
"Daily average revenue trades (""DARTs"") (in thousands)5",,,3
Self-directed households (in millions)6,280 6.7,3 1.6,1.1
Workplace channel:,,,
Workplace unvested assets7 Number of participants (in millions)8,$435 4.9,$133,$ 13 2.7
