2019 versus 2018,Increase (Decrease) Due to Change in:,Volume,Rate,Net Change
$ in millions,Interest earning assets,Investment securities,$,"11,$,431"
Loans,439,95,534,
Securities purchased under agreements to resell and Securities borrowed,U.S.,133,983,"1,116"
Non-U.S.,33,360,393,
"Trading assets, net of Trading liabilities",U.S.,731,(344),387
Non-U.S.,155,(35),120,
Customer receivables and Other,U.S.,(429),534,105
Non-U.S.,73,47,120,
Change in interest income,$,"1,555",$,"1,651,$,3,206"
Interest bearing liabilities,Deposits,$,549,"$,630"
Borrowings,28,(7),21,
Securities sold under agreements to repurchase and Securities loaned,U.S.,462,46,508
Non-U.S.,(72),275,203,
Customer payables and Other,U.S.,(13),744,731
Non-U.S.,(67),292,225,
Change in interest expense,$,419,$,"1,899,$,2,318"
Change in net interest income,$,"1,136",$,"(248),$,888"
