$ in millions,2020,2019,2018,2020,2019
Revenues,Investment banking,"$ 7,204","$ 5,734","$ 6,088","26 %,(6)%"
Revenues,Trading,"13,106","10,318","11,191","27 %,(8)%"
Revenues,Investments,166,325,182,"-(49)%,79 %"
Revenues,Commissions and fees,"2,935","2,484","2,671","18 %,-(7)%"
Revenues,Asset management,461,413,421,"12 %,-(2)%"
Revenues,Other,(214),632,535,"-(134)%,18 %"
Revenues,Total non-interest revenues,"23,658","19,906","21,088","19 %,-(6)%"
Revenues,Interest income,"5,809","12,193","9,271","-(52)%,32 %"
Revenues,Interest expense,"3,519","11,713","9,777","-(70)%,20 %"
Revenues,Net interest,"2,290",480,(506),"N/M,195 %"
Revenues,Net revenues,"25,948","20,386","20,582","27 %,-(1)%"
Revenues,Compensation and benefits,"8,342","7,433","6,958","12 %,7 %"
Revenues,Non-compensation expenses,"8,455","7,463","7,364","13 %,1 %"
Revenues,Total non-interest expenses,"16,797","14,896","14,322","13 %,4 %"
Revenues,Income from continuing operations before income taxes,"9,151","5,490","6,260","67 %,-(12)%"
Revenues,Provision for income taxes,"2,040",769,"1,230","165 %,-(37)%"
Revenues,Income from continuing operations,"7,111","4,721","5,030","51 %,-(6)%"
Revenues,Income (loss) from discontinued operations, net of income taxes,,-(6),"N/M,100 %"
Revenues,Net income,"7,111","4,721","5,024","51 %,-(6)%"
Revenues,Net income applicable to noncontrolling interests,99,122,118,"-(19)%,3 %"
Revenues,Net income applicable to Morgan Stanley,"$ 7,012","$ 4,599","$ 4,906","52 %,-(6)%"
