Signature,Title
/s/ JAMES P. GORMAN,Chairman of the Board and Chief Executive Officer (Principal Executive Officer)
(James P. Gorman),"("""")"
/s/ JONATHAN PRUZAN,Executive Vice President and Chief Financial Officer (Principal Financial Officer)
(Jonathan Pruzan),"("""")"
/s/ RAJA J. AKRAM,Deputy Chief Financial Officer (Chief Accounting Officer and Controller)
(Raja J. Akram),"("""")"
/s/ ELIZABETH CORLEY,Director
(Elizabeth Corley),"("""")"
/s/ ALISTAIR DARLING,Director
(Alistair Darling),"("""")"
/s/ THOMAS H. GLOCER,Director
(Thomas H. Glocer),"("""")"
/s/ ROBERT H. HERZ,Director
(Robert H. Herz),"("""")"
/s/ NOBUYUKI HIRANO,Director
(Nobuyuki Hirano),"("""")"
/s/ SHELLEY B. LEIBOWITZ,Director
(Shelley B. Leibowitz),"("""")"
/s/ STEPHEN J. LUCZO,Director
(Stephen J. Luczo),"("""")"
/s/ JAMI MISCIK,Director
(Jami Miscik),"("""")"
/s/ DENNIS M. NALLY,Director
(Dennis M. Nally),"("""")"
/s/ TAKESHI OGASAWARA,Director
(Takeshi Ogasawara),"("""")"
