$ in millions,2020,2019,2018
Current U.S.: Federal,"$ 1,641",$ 873,$ 686
Current U.S.: State and local,399,260,207
Current Non-U.S.: U.K.,395,166,328
Current Non-U.S.: Japan,185,177,268
Current Non-U.S.: Hong Kong,185,82,94
Current Non-U.S.: Other^,684,341,318
Current Total,"$ 3,489","$ 1,899","$ 1,901"
Deferred U.S.: Federal,$ (249),$ 185,$ 330
Deferred U.S.: State and local,(38),46,56
Deferred Non-U.S.: U.K.,(2),5,54
Deferred Non-U.S.: Japan,12,11,(10)
Deferred Non-U.S.: Hong Kong,(3),—,(3)
Deferred Non-U.S.: Other^,30,(82),22
Deferred Total,$ (250),$ 165,$ 449
Provision for income taxes from continuing operations,"$ 3,239","$ 2,064","$ 2,350"
Provision for income taxes from discontinued operations,$ —,$ —,$ (1)
