2018,Average Daily Balance,Interest,Average Rate
$ in millions,Interest earning assets,Investment securities,"$ 81,977,$ 1,744,2.1 %"
,,Loans,"109,681"
,,,"4,249,3.9"
,,Securities purchased under agreements to resell and Securities borrowed,U.S.
,,,"134,223,2,262,1.7"
,,,Non-U.S.
,,,"86,430,(286),(0.3)"
,,"""Trading assets, net of Trading liabilities""",U.S.
,,,"57,780,2,144,3.7"
,,,Non-U.S.
,,,"9,014,248,2.8"
,,Customer receivables and Other,U.S.
,,,"73,695,2,592,3.5"
,,,Non-U.S.
,,,"54,396,939,1.7"
,,Total,"$ 607,196,$ 13,892,2.3 %"
,,Interest bearing liabilities,
,,Deposits,"$ 169,226,$ 1,255,0.7 %"
,,Borrowings,"191,692"
,,,"5,031,2.6"
,,Securities sold under agreements to repurchase and Securities loaned,U.S.
,,,"24,426,1,408,5.8"
,,,Non-U.S.
,,,"37,319,490,1.3"
,,Customer payables and Other,U.S.
,,,"120,228,1,061,0.9"
,,,Non-U.S.
,,,"70,855,841,1.2"
,,Total,"$ 613,746,$ 10,086,1.6 %"
,,Net interest income and net interest rate spread,"$ 3,806"
,,,0.7 %
