$ in billions,"At December 31, 2020","At December 31, 2019"
Investment securities portfolio:,Investment securities—AFS,"$ 90.3,$ 42.4"
Investment securities—HTM,52.6,26.1
Total investment securities,$ 142.9,$ 68.5
Wealth Management Loans,Residential real estate,"$ 35.2,$ 30.2"
Securities-based lending and other2,62.9,49.9
Total,$ 98.1,$ 80.1
Institutional Securities Loans3,Corporate4,"$ 7.9,$ 5.6"
Secured lending facilities,27.4,26.8
Commercial and Residential real estate,10.1,12.0
Securities-based lending and Other,5.4,5.4
Total,$ 50.8,$ 49.8
Total Assets,$ 346.5,$ 219.6
Deposits5,$ 309.7,$ 189.3
